country,date,name,price,weight
nic,1/14/2022,fecula maizena de maiz original ,32,0.19
nic,1/14/2022,cafe las flores enano tuest med,380,0.91
nic,1/14/2022,azucar sol maya glass ,47,0.2
nic,1/14/2022,granola alin pasas bolsa ,45,0.25
nic,1/14/2022,aceite clover de girasol ,501,4.73
nic,1/14/2022,mania nuts con pasas ,23,0.05
nic,1/14/2022,polvoeat value de hornear ,40,0.23
nic,1/14/2022,coctel frutaeat value extra light ,70,0.42
nic,1/14/2022,aderezo regia alolivo ranch ,81,0.24
nic,1/14/2022,atun suli trocitos en agua ,63,0.3
nic,1/14/2022,jarabe suli de maple ,45,0.34
nic,1/14/2022,harina maseca enchilada c consume ,37,0.45
nic,1/14/2022,galleta pozuelo salada club extra ,31,0.22
nic,1/14/2022,consome costilla res maggi x,13,0.01
nic,1/14/2022,vinagre sabemas oscuro botella ,21,0.7
nic,1/14/2022,harina maseca de maiz  .gr,42,0.02
nic,1/14/2022,arroz sabemas   saco ,476,10.0
nic,1/14/2022,aceite canolaeat value spray ,82,0.23
nic,1/14/2022,galleta del carmen avena chocolate ,68,0.26
nic,1/14/2022,galleta pozuelo soda salada caja ,66,0.44
nic,1/14/2022,boquita yummies zambos chile limon ,43,0.14
nic,1/14/2022,ajo sabemas en polvo frasco ,42,0.08
nic,1/14/2022,galleta pozuelo soda especias naturales paquete  unidades ,31,0.18
nic,1/14/2022,boquitas yummies ranchitas natural ,43,0.3
nic,1/14/2022,azucar san antonio regular,298,10.0
nic,1/14/2022,arroz carolinaano entero / ,16,0.4
nic,1/14/2022,pasta roma caracolito ,18,0.2
nic,1/14/2022,manieat value sin sal ,93,0.45
nic,1/14/2022,nestle cheerios® + nesquik® + trix®. cereal  pack g,135,0.53
nic,1/14/2022,salsa ketchup gourmet doy pack ,50,0.8
nic,1/14/2022,crema dulce dos pinos  ,47,0.25
nic,1/14/2022, pack atun suli trocitos en aceite con vegetales  g,119,0.56
nic,1/14/2022,pasta sabemas tornillo twists ,15,0.25
nic,1/14/2022,atun suli trocitos con vegetales ,59,0.3
nic,1/14/2022,sopa pollo con fideos libre de gluten maggi ,14,0.06
nic,1/14/2022,ajoeat value picado en aceite ,69,0.23
